LAT	IT	DE	FR	ES	PT	EN
Dendrocygna viduata	Dendrocigna facciabianca	Witwenpfeifgans	Dendrocygne veuf	Suirirí Cariblanco	Irere	White-faced Whistling-Duck
Anser indicus	Oca indiana	Streifengans	Oie à tête barrée	Ánsar indio	Ganso-de-cabeça-listada	Bar-headed Goose
Anser caerulescens	Oca delle nevi	Schneegans	Oie des neiges	Ánsar nival	Ganso-das-neves	Snow Goose
Anser rossii	Oca di Ross	Zwergschneegans	Oie de Ross	Ánsar de Ross	Ganso de Ross	Ross's Goose
Anser caerulescens x rossii			Hybride Oie des neiges x Oie de Ross			Snow x Ross's Goose (hybrid)
Anser caerulescens/rossii			Oie des neiges ou de Ross			Snow/Ross's Goose
Anser anser	Oca selvatica	Graugans	Oie cendrée	Ánsar común	Ganso-comum	Graylag Goose
Anser anser anser		Westliche Graugans	Oie cendrée (nominal)			Graylag Goose (European)
Anser anser rubrirostris		Östliche Graugans	Oie cendrée (Asie)			Graylag Goose (Siberian)
Anser anser (Domestic type)	Oca selvatica	Graugans	Oie cendrée (forme domestique)	Ánsar común	Ganso-comum	Graylag Goose (Domestic type)
Anser cygnoides	Oca cigno	Schwanengans	Oie cygnoïde	Ánsar cisnal	Ganso-cisne	Swan Goose
Anser albifrons	Oca lombardella	Bläßgans	Oie rieuse	Ánsar careto	Ganso-grande-de-testa-branca	Greater White-fronted Goose
Anser albifrons flavirostris	Oca lombardella di Groenlandia	Grönlandische Blässgans	Oie rieuse (Groenland)	Ánsar careto de Groenlandia		Greater White-fronted Goose (Greenland)
Anser albifrons albifrons	Oca lombardella europea	Bläßgans	Oie rieuse (nominal)	Ánsar careto grande de Europa		Greater White-fronted Goose (Eurasian)
Anser indicus x albifrons			Hybride Oie rieuse x O. à tête barrée			Bar-headed x Greater White-fronted Goose (hybrid)
Anser erythropus	Oca lombardella minore	Zwerggans	Oie naine	Ánsar chico	Ganso-pequeno-de-testa-branca	Lesser White-fronted Goose
Anser albifrons/erythropus			Oie rieuse ou O. naine			Greater/Lesser White-fronted Goose
Anser fabalis	Oca granaiola della taiga	Saatgans	Oie des moissons	Ánsar Campestre	Ganso-campestre	Taiga Bean-Goose
Anser serrirostris	Oca granaiola della tundra	Tundrasaatgans	Oie de la toundra	Ánsar Campestre de la Tundra		Tundra Bean-Goose
Anser fabalis/serrirostris	Oca granaiola	Saatgans	Oie des moissons	Ánsar campestre	Ganso-campestre	Taiga/Tundra Bean-Goose
Anser brachyrhynchus	Oca zamperosee	Kurzschnabelgans	Oie à bec court	Ánsar piquicorto	Ganso-de-bico-curto	Pink-footed Goose
Anser sp.			Anser sp.			Anser sp.
Branta bernicla	Oca colombaccio	Ringelgans	Bernache cravant	Barnacla Carinegra	Ganso-de-faces-negras	Brant
Branta bernicla bernicla	Oca colombaccio	Ringelgans	Bernache cravant	Barnacla carinegra	Ganso-de-faces-negras	Brant (Dark-bellied)
